id,name,lat,lon
L0,노선0_시작,37.5537226,126.8261361
L1,노선0_종점,37.5690926,126.8484843
L2,노선1_시작,37.5648301,126.922361
L3,노선1_종점,37.5583347,126.9255789
L4,노선2_시작,37.5687403,127.0694506
L5,노선2_종점,37.5615059,127.063817
L6,노선3_시작,37.5509611,126.8179873
L7,노선3_종점,37.5566599,126.818399
L8,노선4_시작,37.5149143,127.0156671
L9,노선4_종점,37.5099743,127.0072243
L10,노선5_시작,37.5747658,126.9704198
L11,노선5_종점,37.5649238,126.977084
L12,노선6_시작,37.5190228,126.8950065
L13,노선6_종점,37.5182798,126.9024393
L14,노선7_시작,37.5149749,126.8724278
L15,노선7_종점,37.5198313,126.8683976
L16,노선8_시작,37.4958363,126.9084525
L17,노선8_종점,37.484809,126.9012953
L18,노선9_시작,37.5731952,126.9976043
L19,노선9_종점,37.5705884,126.9942755
L20,노선10_시작,37.5452991,127.0534019
L21,노선10_종점,37.5475179,127.0670687
L22,노선11_시작,37.575464,127.0227269
L23,노선11_종점,37.565837,127.0085487
L24,노선12_시작,37.569519,126.9743808
L25,노선12_종점,37.5743421,126.9781771
L26,노선13_시작,37.5577062,126.8296805
L27,노선13_종점,37.5591301,126.8332737
L28,노선14_시작,37.5716155,127.0413548
L29,노선14_종점,37.5459502,127.0303414
