line_id,n_nodes,n_edges,total_usage,start_lat,start_lon,end_lat,end_lon
0,41,77,150.0,37.5537226,126.8261361,37.5690926,126.8484843
1,19,26,51.0,37.5648301,126.922361,37.5583347,126.9255789
2,15,14,28.0,37.5687403,127.0694506,37.5615059,127.063817
3,11,10,20.0,37.5509611,126.8179873,37.5566599,126.818399
4,13,12,24.0,37.5149143,127.0156671,37.5099743,127.0072243
5,16,15,30.0,37.5747658,126.9704198,37.5649238,126.977084
6,11,10,20.0,37.5190228,126.8950065,37.5182798,126.9024393
7,12,11,22.0,37.5149749,126.8724278,37.5198313,126.8683976
8,21,20,40.0,37.4958363,126.9084525,37.484809,126.9012953
9,18,17,34.0,37.5731952,126.9976043,37.5705884,126.9942755
10,22,21,50.0,37.5452991,127.0534019,37.5475179,127.0670687
11,23,31,87.0,37.575464,127.0227269,37.565837,127.0085487
12,15,17,29.0,37.569519,126.9743808,37.5743421,126.9781771
13,10,9,23.0,37.5577062,126.8296805,37.5591301,126.8332737
14,10,10,24.0,37.5716155,127.0413548,37.5459502,127.0303414
